R0001 J1,J2,J3,J4
R0002 J8,J9,J10,J11,J12,J13,J14,J15
R0003 H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18
R0004 F1,F2,F3
R0005 F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20
R0006 D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
R0007 B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13
R0008 I1,I2,I3,I4,I5,I6,I7,I8
R0009 G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14
R0010 E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14
R0011 C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
R0012 J19,J20
R0013 I9,I10,I11,I12,I13,I14,I15
R0014 I16,I17,I18,I19,I20
R0015 G15,G16,G17,G18,G19,G20
R0016 E15
R0017 E16,E17
R0018 E18,E19,E20
R0019 A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11
R0020 A12,A13,A14,A15,A16,A17,A18
R0021 0
R0022 0
R0023 0
R0024 0
R0025 0
R0026 C19,C20
R0027 0
R0028 0
R0029 0
R0030 0
R0031 0
